Date,Close
7/11/2016,46.34
7/12/2016,46.04
7/13/2016,46.38
7/14/2016,46.35
7/15/2016,46.28
7/18/2016,46.55
7/19/2016,45.88
7/20/2016,45.91
7/21/2016,45.85
7/22/2016,45.92
7/25/2016,45.88
7/26/2016,46.01
7/27/2016,45.64
7/28/2016,45.85
7/29/2016,46.12
8/1/2016,45.85
8/2/2016,46.13
8/3/2016,44.93
8/4/2016,45.25
8/5/2016,45.52
8/8/2016,45.32
8/9/2016,45.84
8/10/2016,45.86
8/11/2016,46.6
8/12/2016,46.49
8/15/2016,46.44
8/16/2016,46.47
8/17/2016,46.82
8/18/2016,46.84
8/19/2016,46.71
8/22/2016,46.36
8/23/2016,46.34
8/24/2016,46.03
8/25/2016,46.2
8/26/2016,46.07
8/29/2016,46.31
8/30/2016,46.04
8/31/2016,46.11
9/1/2016,46.38
9/2/2016,47.88
9/6/2016,47.52
9/7/2016,47.35
9/8/2016,46.69
9/9/2016,45.62
9/12/2016,46.11
9/13/2016,45.43
9/14/2016,45.4
9/15/2016,45.69
9/16/2016,44.94
9/19/2016,45.38
9/20/2016,45.25
9/21/2016,45.41
9/22/2016,46.44
9/23/2016,46.1
9/26/2016,45.66
9/27/2016,46.2
9/28/2016,46.52
9/29/2016,45.73
9/30/2016,46.1
10/3/2016,46.27
10/4/2016,46.43
10/5/2016,45.77
10/6/2016,45.72
10/7/2016,45.36
10/10/2016,45.36
10/11/2016,45.07
10/12/2016,44.78
10/13/2016,43.56
10/14/2016,43.22
10/17/2016,42.79
10/18/2016,43.14
10/19/2016,42.65
10/20/2016,42.91
10/21/2016,42.66
10/24/2016,42.56
10/25/2016,42.5
10/26/2016,41.87
10/27/2016,41.67
10/28/2016,41.9
10/31/2016,41.82
11/1/2016,42.19
11/2/2016,42.16
11/3/2016,41.79
11/4/2016,41.37
11/7/2016,41.93
11/8/2016,42.1
11/9/2016,41.51
11/10/2016,39.95
11/11/2016,39.76
11/14/2016,39.4
11/15/2016,39.72
11/16/2016,39.19
11/17/2016,39.19
11/18/2016,38.9
11/21/2016,39.06
11/22/2016,39.03
11/23/2016,38.66
11/25/2016,39.64
11/28/2016,39.21
11/29/2016,39.39
11/30/2016,39.83
12/1/2016,39.12
12/2/2016,39.47
12/5/2016,40.1
12/6/2016,39.76
12/7/2016,40.12
12/8/2016,39.28
12/9/2016,40.02
12/12/2016,40.21
